,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
35,95,95,W690X170,W27X114,21700,693,170.0,279.0,55.4,4900000.0,516000.0,257,23.6,14.5,1700000000.0,66200000.0
36,78,78,W760X173,W30X116,22100,762,173.0,305.0,55.6,5390000.0,513000.0,267,21.6,14.4,2050000000.0,68300000.0
37,111,111,W610X174,W24X117,22200,617,174.0,257.0,74.7,4770000.0,762000.0,325,21.6,14,1470000000.0,124000000.0
38,65,65,W840X176,W33X118,22400,836,176.0,330.0,58.9,5880000.0,534000.0,292,18.8,14,2460000000.0,77800000.0
39,151,151,W460X177,W18X119,22600,483,177.0,201.0,68.3,3790000.0,736000.0,287,26.9,16.6,912000000.0,105000000.0
40,223,223,W310X179,W12X120,22700,333,179.0,140.0,79.5,2670000.0,918000.0,312,28.2,18,445000000.0,144000000.0
41,197,197,W360X179,W14X120,22800,368,179.0,158.0,95.0,3110000.0,1110000.0,373,23.9,15,574000000.0,206000000.0
42,128,128,W530X182,W21X122,23200,551,182.0,231.0,74.2,4470000.0,806000.0,315,24.4,15.2,1230000000.0,127000000.0
43,77,77,W760X185,W30X124,23500,767,185.0,307.0,56.6,5820000.0,564000.0,267,23.6,14.9,2230000000.0,75300000.0
44,94,94,W690X192,W27X129,24400,701,192.0,284.0,56.1,5650000.0,603000.0,254,27.9,15.5,1980000000.0,76600000.0
45,64,64,W840X193,W33X130,24700,841,193.0,335.0,60.7,6650000.0,621000.0,292,21.7,14.7,2790000000.0,90700000.0
46,150,150,W460X193,W18X130,24700,490,193.0,204.0,68.6,4200000.0,818000.0,284,30.5,17,1020000000.0,116000000.0
47,110,110,W610X195,W24X131,24900,622,195.0,259.0,75.4,5390000.0,869000.0,328,24.4,15.4,1670000000.0,142000000.0
48,76,76,W760X196,W30X132,25000,770,196.0,310.0,57.2,6230000.0,610000.0,267,25.4,15.6,2400000000.0,81600000.0
49,127,127,W530X196,W21X132,25000,554,196.0,232.0,74.4,4830000.0,877000.0,315,26.4,16.5,1340000000.0,139000000.0
50,196,196,W360X196,W14X132,25000,373,196.0,160.0,95.5,3420000.0,1220000.0,373,26.2,16.4,637000000.0,228000000.0
51,52,52,W920X201,W36X135,25700,904,201.0,356.0,60.5,7190000.0,618000.0,305,20.1,15.2,3250000000.0,93700000.0
52,222,222,W310X202,W12X136,25700,340,202.0,142.0,80.3,3050000.0,1050000.0,315,31.8,20.1,516000000.0,166000000.0
53,63,63,W840X210,W33X141,26800,846,210.0,340.0,61.7,7340000.0,700000.0,292,24.4,15.4,3100000000.0,102000000.0
54,149,149,W460X213,W18X143,27100,495,213.0,205.0,69.1,4620000.0,909000.0,284,33.5,18.5,1140000000.0,129000000.0
55,195,195,W360X216,W14X145,27500,376,216.0,161.0,101.0,3800000.0,1430000.0,394,27.7,17.3,712000000.0,282000000.0
56,109,109,W610X217,W24X146,27700,627,217.0,262.0,76.5,6080000.0,991000.0,328,27.7,16.5,1910000000.0,163000000.0
57,93,93,W690X217,W27X146,27900,696,217.0,292.0,81.3,6780000.0,1040000.0,356,24.8,15.4,2360000000.0,184000000.0
58,126,126,W530X219,W21X147,27900,561,219.0,233.0,74.9,5390000.0,985000.0,318,29.2,18.3,1510000000.0,157000000.0
59,75,75,W760X220,W30X148,28100,780,220.0,315.0,57.9,7140000.0,710000.0,267,30,16.5,2780000000.0,94500000.0
60,27,27,W1000X222,W40X149,28300,970,222.0,381.0,58.2,8410000.0,636000.0,300,21.1,16,4080000000.0,95300000.0
61,51,51,W920X223,W36X150,28600,912,223.0,363.0,62.7,8260000.0,739000.0,305,23.9,15.9,3760000000.0,112000000.0
62,221,221,W310X226,W12X152,28800,348,226.0,144.0,81.0,3420000.0,1190000.0,318,35.6,22.1,595000000.0,189000000.0
63,62,62,W840X226,W33X152,29000,851,226.0,343.0,62.7,7980000.0,773000.0,295,26.9,16.1,3400000000.0,114000000.0
64,148,148,W460X235,W18X158,29900,500,235.0,206.0,69.6,5080000.0,1010000.0,287,36.6,20.6,1270000000.0,144000000.0
65,194,194,W360X237,W14X159,30100,381,237.0,162.0,102.0,4160000.0,1580000.0,396,30.2,18.9,791000000.0,311000000.0
66,50,50,W920X238,W36X160,30300,914,238.0,366.0,63.5,8880000.0,805000.0,305,25.9,16.5,4060000000.0,123000000.0
67,92,92,W690X240,W27X161,30700,701,240.0,292.0,82.0,7510000.0,1160000.0,356,27.4,16.8,2630000000.0,207000000.0
68,108,108,W610X241,W24X162,30800,635,241.0,264.0,77.5,6780000.0,1120000.0,330,31,17.9,2150000000.0,184000000.0
69,125,125,W530X248,W21X166,31500,572,248.0,238.0,75.9,6230000.0,1150000.0,315,34.5,19.1,1780000000.0,181000000.0
70,26,26,W1000X249,W40X167,31800,980,249.0,389.0,61.0,9830000.0,785000.0,300,26.2,16.5,4830000000.0,118000000.0
71,61,61,W840X251,W33X169,31900,859,251.0,348.0,63.5,9000000.0,883000.0,292,31,17,3870000000.0,129000000.0
72,220,220,W310X253,W12X170,32300,356,253.0,146.0,81.8,3850000.0,1350000.0,320,39.6,24.4,687000000.0,215000000.0
73,49,49,W920X253,W36X170,32300,919,253.0,368.0,64.3,9520000.0,872000.0,305,27.9,17.3,4370000000.0,133000000.0
74,74,74,W760X257,W30X173,32800,772,257.0,323.0,86.9,8870000.0,1310000.0,381,27.2,16.6,3430000000.0,249000000.0
75,147,147,W460X260,W18X175,33200,508,260.0,208.0,70.1,5640000.0,1130000.0,290,40.4,22.6,1440000000.0,163000000.0
76,193,193,W360X262,W14X176,33400,386,262.0,163.0,102.0,4600000.0,1750000.0,399,33.3,21.1,891000000.0,349000000.0
77,107,107,W610X262,W24X176,33400,640,262.0,267.0,77.2,7370000.0,1220000.0,328,34,19.1,2360000000.0,199000000.0
78,91,91,W690X265,W27X178,33900,706,265.0,295.0,82.6,8280000.0,1290000.0,358,30.2,18.4,2920000000.0,231000000.0
79,25,25,W1000X272,W40X183,34400,991,272.0,399.0,63.2,11100000.0,918000.0,300,30.5,16.5,5490000000.0,138000000.0
80,124,124,W530X272,W21X182,34600,577,272.0,239.0,76.2,6830000.0,1270000.0,318,37.6,21.1,1970000000.0,201000000.0
81,48,48,W920X271,W36X182,34600,922,271.0,368.0,64.8,10200000.0,944000.0,307,30,18.4,4700000000.0,144000000.0
82,219,219,W310X283,W12X190,36100,366,283.0,148.0,82.6,4310000.0,1520000.0,323,44.2,26.9,787000000.0,245000000.0
83,73,73,W760X284,W30X191,36200,780,284.0,325.0,87.9,9830000.0,1470000.0,381,30.2,18,3830000000.0,280000000.0
84,146,146,W460X286,W18X192,36300,518,286.0,210.0,70.9,6230000.0,1260000.0,292,44.5,24.4,1610000000.0,183000000.0
85,106,106,W610X285,W24X192,36500,648,285.0,267.0,78.0,8050000.0,1340000.0,330,37.1,20.6,2610000000.0,221000000.0
86,192,192,W360X287,W14X193,36600,394,287.0,165.0,103.0,5080000.0,1950000.0,399,36.6,22.6,999000000.0,388000000.0
87,90,90,W690X289,W27X194,36800,714,289.0,297.0,83.6,9160000.0,1440000.0,356,34,19.1,3270000000.0,258000000.0
88,47,47,W920X289,W36X194,36800,927,289.0,371.0,65.0,10900000.0,1010000.0,307,32,19.4,5040000000.0,156000000.0
89,16,16,W1000X296,W40X199,37900,983,296.0,406.0,87.6,12600000.0,1450000.0,401,27.2,16.5,6200000000.0,289000000.0
90,60,60,W840X299,W33X201,38100,856,299.0,356.0,90.4,11200000.0,1560000.0,399,29.2,18.2,4830000000.0,312000000.0
91,123,123,W530X300,W21X201,38300,584,300.0,241.0,76.7,7550000.0,1410000.0,320,41.4,23.1,2210000000.0,226000000.0
92,105,105,W610X307,W24X207,39200,653,307.0,269.0,78.2,8700000.0,1460000.0,330,39.9,22.1,2840000000.0,241000000.0
93,46,46,W920X313,W36X210,39900,932,313.0,371.0,65.5,11800000.0,1110000.0,310,34.5,21.1,5490000000.0,171000000.0
94,218,218,W310X313,W12X210,39900,373,313.0,150.0,83.3,4790000.0,1700000.0,325,48.3,30,891000000.0,276000000.0
95,191,191,W360X314,W14X211,40000,399,314.0,166.0,103.0,5540000.0,2130000.0,401,39.6,24.9,1110000000.0,429000000.0
96,24,24,W1000X314,W40X211,40100,1000,314.0,401.0,63.8,12900000.0,1080000.0,300,36.1,19.1,6450000000.0,162000000.0
97,145,145,W460X315,W18X211,40200,526,315.0,212.0,71.6,6870000.0,1400000.0,295,48.5,26.9,1800000000.0,205000000.0
98,72,72,W760X314,W30X211,40200,785,314.0,328.0,88.6,10900000.0,1640000.0,384,33.5,19.7,4290000000.0,315000000.0
99,15,15,W1000X321,W40X215,41000,991,321.0,411.0,89.9,14100000.0,1660000.0,401,31,16.5,6950000000.0,334000000.0
100,89,89,W690X323,W27X217,41200,721,323.0,300.0,84.3,10300000.0,1640000.0,358,38.1,21.1,3710000000.0,293000000.0
101,59,59,W840X329,W33X221,42100,861,329.0,358.0,91.2,12400000.0,1740000.0,401,32.5,19.7,5370000000.0,350000000.0
102,122,122,W530X332,W21X223,42900,594,332.0,243.0,77.2,8520000.0,1580000.0,323,45.5,25.4,2530000000.0,256000000.0
103,104,104,W610X341,W24X229,43400,660,341.0,272.0,79.0,9640000.0,1630000.0,333,43.9,24.4,3180000000.0,271000000.0
104,3,3,W1100X343,W44X230,43700,1090,343.0,445.0,87.1,15900000.0,1660000.0,401,31,18,8660000000.0,331000000.0
105,217,217,W310X342,W12X230,43700,384,342.0,152.0,84.1,5260000.0,1880000.0,328,52.6,32.8,1010000000.0,309000000.0
106,45,45,W920X345,W36X232,43900,943,345.0,376.0,66.5,13300000.0,1270000.0,307,39.9,22.1,6240000000.0,195000000.0
107,43,43,W920X344,W36X231,44000,927,344.0,384.0,94.2,14000000.0,1870000.0,419,32,19.3,6490000000.0,391000000.0
108,190,190,W360X347,W14X233,44200,406,347.0,168.0,104.0,6150000.0,2380000.0,404,43.7,27.2,1250000000.0,479000000.0
109,144,144,W460X349,W18X234,44300,536,349.0,214.0,72.4,7640000.0,1570000.0,297,53.6,29.5,2040000000.0,232000000.0
110,23,23,W1000X350,W40X235,44600,1010,350.0,404.0,64.5,14300000.0,1220000.0,302,40.1,21.1,7240000000.0,185000000.0
111,71,71,W760X350,W30X235,44700,795,350.0,330.0,89.2,12300000.0,1870000.0,384,38.1,21.1,4870000000.0,356000000.0
112,88,88,W690X350,W27X235,44800,729,350.0,300.0,84.6,11100000.0,1770000.0,361,40.9,23.1,4040000000.0,320000000.0
113,58,58,W840X359,W33X241,45900,869,359.0,358.0,91.9,13600000.0,1930000.0,404,35.6,21.1,5910000000.0,388000000.0
114,42,42,W920X368,W36X247,46800,932,368.0,386.0,95.0,15000000.0,2020000.0,419,34.3,20.3,6950000000.0,420000000.0
115,103,103,W610X372,W24X250,47400,668,372.0,272.0,79.8,10600000.0,1800000.0,335,48,26.4,3530000000.0,301000000.0
116,14,14,W1000X371,W40X249,47400,1000,371.0,414.0,90.2,16300000.0,1930000.0,401,36.1,19.1,8160000000.0,385000000.0
117,121,121,W530X369,W21X248,47600,602,369.0,244.0,78.2,9440000.0,1790000.0,325,50.5,27.9,2840000000.0,291000000.0
118,216,216,W310X375,W12X252,47800,391,375.0,154.0,84.8,5780000.0,2080000.0,330,57.2,35.6,1130000000.0,345000000.0
119,44,44,W920X381,W36X256,48600,951,381.0,378.0,67.3,14700000.0,1420000.0,310,43.9,24.4,6990000000.0,220000000.0
120,189,189,W360X382,W14X257,48800,417,382.0,170.0,105.0,6800000.0,2640000.0,406,48,30,1420000000.0,537000000.0
121,143,143,W460X384,W18X258,49000,546,384.0,217.0,73.2,8420000.0,1750000.0,300,58.4,32.5,2290000000.0,261000000.0
