AISC_Manual_Label,Unnamed: 0,level_0,index,AISC_Manual_Label.1,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
W33X241,131,58,58,W840X359,45900.000 mm²,869.000 mm,359.0,358.0,91.9,13600000.000 mm³,1930000.000 mm³,404.000 mm,35.600 mm,21.100 mm,5910000000.000 mm⁴,388000000.000 mm⁴
W30X261,132,70,70,W760X389,49700.000 mm²,803.000 mm,389.0,333.0,89.7,13600000.000 mm³,2080000.000 mm³,386.000 mm,41.900 mm,23.600 mm,5450000000.000 mm⁴,399000000.000 mm⁴
W14X500,133,181,181,W360X744,94800.000 mm²,498.000 mm,744.0,190.0,113.0,13700000.000 mm³,5560000.000 mm³,432.000 mm,88.900 mm,55.600 mm,3420000000.000 mm⁴,1200000000.000 mm⁴
W36X231,134,43,43,W920X344,44000.000 mm²,927.000 mm,344.0,384.0,94.2,14000000.000 mm³,1870000.000 mm³,419.000 mm,32.000 mm,19.300 mm,6490000000.000 mm⁴,391000000.000 mm⁴
W40X215,135,15,15,W1000X321,41000.000 mm²,991.000 mm,321.0,411.0,89.9,14100000.000 mm³,1660000.000 mm³,401.000 mm,31.000 mm,16.500 mm,6950000000.000 mm⁴,334000000.000 mm⁴
W24X335,136,100,100,W610X498,63400.000 mm²,699.000 mm,498.0,279.0,82.0,14200000.000 mm³,2490000.000 mm³,343.000 mm,63.000 mm,35.100 mm,4950000000.000 mm⁴,429000000.000 mm⁴
W40X235,137,23,23,W1000X350,44600.000 mm²,1.010 m,350.0,404.0,64.5,14300000.000 mm³,1220000.000 mm³,302.000 mm,40.100 mm,21.100 mm,7240000000.000 mm⁴,185000000.000 mm⁴
W27X307,138,85,85,W690X457,58200.000 mm²,752.000 mm,457.0,305.0,86.6,14500000.000 mm³,2390000.000 mm³,366.000 mm,53.100 mm,29.500 mm,5450000000.000 mm⁴,437000000.000 mm⁴
W36X256,139,44,44,W920X381,48600.000 mm²,951.000 mm,381.0,378.0,67.3,14700000.000 mm³,1420000.000 mm³,310.000 mm,43.900 mm,24.400 mm,6990000000.000 mm⁴,220000000.000 mm⁴
W36X247,140,42,42,W920X368,46800.000 mm²,932.000 mm,368.0,386.0,95.0,15000000.000 mm³,2020000.000 mm³,419.000 mm,34.300 mm,20.300 mm,6950000000.000 mm⁴,420000000.000 mm⁴
W33X263,141,57,57,W840X392,49900.000 mm²,876.000 mm,392.0,363.0,93.0,15100000.000 mm³,2150000.000 mm³,401.000 mm,39.900 mm,22.100 mm,6620000000.000 mm⁴,433000000.000 mm⁴
W30X292,142,69,69,W760X434,55500.000 mm²,813.000 mm,434.0,335.0,90.9,15200000.000 mm³,2360000.000 mm³,389.000 mm,47.000 mm,25.900 mm,6200000000.000 mm⁴,458000000.000 mm⁴
W14X550,143,180,180,W360X818,105000.000 mm²,513.000 mm,818.0,194.0,114.0,15300000.000 mm³,6190000.000 mm³,437.000 mm,97.000 mm,60.500 mm,3930000000.000 mm⁴,1350000000.000 mm⁴
W24X370,144,99,99,W610X551,70300.000 mm²,711.000 mm,551.0,282.0,83.1,15700000.000 mm³,2790000.000 mm³,348.000 mm,69.100 mm,38.600 mm,5580000000.000 mm⁴,483000000.000 mm⁴
W36X262,145,41,41,W920X390,49800.000 mm²,937.000 mm,390.0,389.0,95.5,15900000.000 mm³,2160000.000 mm³,422.000 mm,36.600 mm,21.300 mm,7450000000.000 mm⁴,454000000.000 mm⁴
W27X336,146,84,84,W690X500,64000.000 mm²,762.000 mm,500.0,307.0,87.6,15900000.000 mm³,2650000.000 mm³,371.000 mm,57.900 mm,32.000 mm,6080000000.000 mm⁴,491000000.000 mm⁴
W44X230,147,3,3,W1100X343,43700.000 mm²,1.090 m,343.0,445.0,87.1,15900000.000 mm³,1660000.000 mm³,401.000 mm,31.000 mm,18.000 mm,8660000000.000 mm⁴,331000000.000 mm⁴
W40X264,148,22,22,W1000X393,49900.000 mm²,1.020 m,393.0,401.0,64.0,15900000.000 mm³,1350000.000 mm³,302.000 mm,43.900 mm,24.400 mm,8070000000.000 mm⁴,205000000.000 mm⁴
W40X249,149,14,14,W1000X371,47400.000 mm²,1.000 m,371.0,414.0,90.2,16300000.000 mm³,1930000.000 mm³,401.000 mm,36.100 mm,19.100 mm,8160000000.000 mm⁴,385000000.000 mm⁴
W40X278,150,21,21,W1000X415,53100.000 mm²,1.020 m,415.0,401.0,64.0,16700000.000 mm³,1430000.000 mm³,305.000 mm,46.000 mm,26.200 mm,8530000000.000 mm⁴,217000000.000 mm⁴
W33X291,151,56,56,W840X433,55200.000 mm²,884.000 mm,433.0,366.0,93.5,16700000.000 mm³,2390000.000 mm³,404.000 mm,43.900 mm,24.400 mm,7370000000.000 mm⁴,483000000.000 mm⁴
W30X326,152,68,68,W760X484,61900.000 mm²,823.000 mm,484.0,335.0,91.4,17000000.000 mm³,2650000.000 mm³,391.000 mm,52.100 mm,29.000 mm,6990000000.000 mm⁴,516000000.000 mm⁴
W14X605,153,179,179,W360X900,115000.000 mm²,531.000 mm,900.0,198.0,116.0,17000000.000 mm³,6930000.000 mm³,442.000 mm,106.000 mm,66.000 mm,4500000000.000 mm⁴,1530000000.000 mm⁴
W36X282,154,40,40,W920X420,53500.000 mm²,942.000 mm,420.0,391.0,96.5,17200000.000 mm³,2360000.000 mm³,422.000 mm,39.900 mm,22.500 mm,8160000000.000 mm⁴,499000000.000 mm⁴
W27X368,155,83,83,W690X548,70300.000 mm²,772.000 mm,548.0,310.0,88.4,17400000.000 mm³,2930000.000 mm³,373.000 mm,63.000 mm,35.100 mm,6740000000.000 mm⁴,545000000.000 mm⁴
W40X294,156,20,20,W1000X438,55600.000 mm²,1.030 m,438.0,404.0,64.8,17700000.000 mm³,1530000.000 mm³,305.000 mm,49.000 mm,26.900 mm,9120000000.000 mm⁴,234000000.000 mm⁴
W40X277,157,13,13,W1000X412,52600.000 mm²,1.010 m,412.0,417.0,90.9,18000000.000 mm³,2160000.000 mm³,401.000 mm,40.100 mm,21.100 mm,9120000000.000 mm⁴,433000000.000 mm⁴
W44X262,158,2,2,W1100X390,49800.000 mm²,1.100 m,390.0,450.0,88.1,18200000.000 mm³,1920000.000 mm³,401.000 mm,36.100 mm,19.900 mm,10000000000.000 mm⁴,384000000.000 mm⁴
W33X318,159,55,55,W840X473,60500.000 mm²,894.000 mm,473.0,368.0,94.2,18200000.000 mm³,2640000.000 mm³,406.000 mm,48.000 mm,26.400 mm,8120000000.000 mm⁴,537000000.000 mm⁴
W36X302,160,39,39,W920X449,57400.000 mm²,947.000 mm,449.0,391.0,97.0,18500000.000 mm³,2560000.000 mm³,424.000 mm,42.700 mm,24.000 mm,8780000000.000 mm⁴,541000000.000 mm⁴
W30X357,161,67,67,W760X531,67700.000 mm²,833.000 mm,531.0,338.0,92.5,18700000.000 mm³,2930000.000 mm³,394.000 mm,56.900 mm,31.500 mm,7780000000.000 mm⁴,579000000.000 mm⁴
W14X665,162,178,178,W360X990,126000.000 mm²,549.000 mm,990.0,203.0,117.0,18800000.000 mm³,7730000.000 mm³,450.000 mm,115.000 mm,71.900 mm,5160000000.000 mm⁴,1740000000.000 mm⁴
W40X297,163,12,12,W1000X443,56300.000 mm²,1.010 m,443.0,414.0,89.9,19200000.000 mm³,2260000.000 mm³,401.000 mm,41.900 mm,23.600 mm,9660000000.000 mm⁴,454000000.000 mm⁴
W40X327,164,19,19,W1000X486,61900.000 mm²,1.040 m,486.0,406.0,65.5,19700000.000 mm³,1720000.000 mm³,307.000 mm,54.100 mm,30.000 mm,10200000000.000 mm⁴,266000000.000 mm⁴
W40X331,165,18,18,W1000X494,63000.000 mm²,1.040 m,494.0,404.0,65.3,19800000.000 mm³,1740000.000 mm³,310.000 mm,54.100 mm,31.000 mm,10300000000.000 mm⁴,268000000.000 mm⁴
W33X354,166,54,54,W840X527,67100.000 mm²,904.000 mm,527.0,368.0,95.0,20300000.000 mm³,2970000.000 mm³,409.000 mm,53.100 mm,29.500 mm,9160000000.000 mm⁴,608000000.000 mm⁴
W44X290,167,1,1,W1100X433,55100.000 mm²,1.110 m,433.0,452.0,88.6,20300000.000 mm³,2160000.000 mm³,401.000 mm,40.100 mm,22.000 mm,11200000000.000 mm⁴,433000000.000 mm⁴
W36X330,168,38,38,W920X491,62500.000 mm²,958.000 mm,491.0,394.0,97.3,20300000.000 mm³,2800000.000 mm³,422.000 mm,47.000 mm,25.900 mm,9700000000.000 mm⁴,591000000.000 mm⁴
W30X391,169,66,66,W760X582,74200.000 mm²,843.000 mm,582.0,340.0,93.2,20500000.000 mm³,3240000.000 mm³,396.000 mm,62.000 mm,34.500 mm,8620000000.000 mm⁴,645000000.000 mm⁴
W14X730,170,177,177,W360X1086,139000.000 mm²,569.000 mm,1090.0,208.0,119.0,21000000.000 mm³,8640000.000 mm³,455.000 mm,125.000 mm,78.000 mm,5950000000.000 mm⁴,1960000000.000 mm⁴
W40X324,171,11,11,W1000X483,61500.000 mm²,1.020 m,483.0,417.0,90.9,21000000.000 mm³,2510000.000 mm³,404.000 mm,46.000 mm,25.400 mm,10700000000.000 mm⁴,508000000.000 mm⁴
W36X361,172,37,37,W920X537,68400.000 mm²,965.000 mm,537.0,396.0,97.8,22100000.000 mm³,3080000.000 mm³,424.000 mm,51.100 mm,28.400 mm,10700000000.000 mm⁴,653000000.000 mm⁴
W33X387,173,53,53,W840X576,73500.000 mm²,914.000 mm,576.0,371.0,95.8,22100000.000 mm³,3280000.000 mm³,411.000 mm,57.900 mm,32.000 mm,10100000000.000 mm⁴,674000000.000 mm⁴
W14X808,174,176,176,W360X1202,154000.000 mm²,579.000 mm,1200.0,208.0,123.0,22800000.000 mm³,9780000.000 mm³,472.000 mm,130.000 mm,95.000 mm,6620000000.000 mm⁴,2310000000.000 mm⁴
W44X335,175,0,0,W1100X499,63500.000 mm²,1.120 m,499.0,452.0,88.6,23100000.000 mm³,2460000.000 mm³,404.000 mm,45.000 mm,26.200 mm,12900000000.000 mm⁴,499000000.000 mm⁴
