,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
92,W410X114,W16X77,14600,419,114.0,178.0,62.7,2200000.0,441000.0,262,19.3,11.6,462000000.0,57400000.0
93,W310X117,W12X79,15000,315,117.0,136.0,77.5,1750000.0,587000.0,307,18.7,11.9,276000000.0,89900000.0
94,W360X122,W14X82,15500,363,122.0,154.0,63.0,2020000.0,480000.0,257,21.7,13,367000000.0,61600000.0
95,W530X123,W21X83,15700,544,123.0,220.0,46.5,2800000.0,320000.0,212,21.2,13.1,762000000.0,33900000.0
96,W610X125,W24X84,15900,612,125.0,249.0,49.5,3210000.0,342000.0,229,19.6,11.9,986000000.0,39300000.0
97,W690X125,W27X84,15900,678,125.0,272.0,52.6,3490000.0,347000.0,254,16.3,11.7,1190000000.0,44100000.0
98,W460X128,W18X86,16300,467,128.0,197.0,66.8,2720000.0,518000.0,282,19.6,12.2,637000000.0,72800000.0
99,W310X129,W12X87,16500,318,129.0,137.0,78.0,1930000.0,651000.0,307,20.6,13.1,308000000.0,100000000.0
100,W250X131,W10X88,16800,274,131.0,115.0,66.8,1610000.0,570000.0,262,25.1,15.4,222000000.0,74500000.0
101,W410X132,W16X89,16900,427,132.0,179.0,63.2,2540000.0,515000.0,264,22.2,13.3,541000000.0,67800000.0
102,W760X134,W30X90,17000,749,134.0,297.0,53.1,4010000.0,362000.0,264,15.5,11.9,1500000000.0,47900000.0
103,W360X134,W14X90,17100,356,134.0,156.0,94.0,2340000.0,818000.0,368,18,11.2,416000000.0,151000000.0
104,W530X138,W21X93,17600,549,138.0,221.0,46.7,3150000.0,362000.0,214,23.6,14.7,862000000.0,38700000.0
105,W690X140,W27X94,17800,683,140.0,277.0,53.8,3980000.0,406000.0,254,18.9,12.4,1360000000.0,51600000.0
106,W610X140,W24X94,17900,617,140.0,251.0,50.3,3640000.0,393000.0,230,22.2,13.1,1120000000.0,45400000.0
107,W310X143,W12X96,18200,323,143.0,138.0,78.5,2150000.0,728000.0,310,22.9,14,347000000.0,112000000.0
108,W460X144,W18X97,18400,472,144.0,199.0,67.3,3080000.0,592000.0,282,22.1,13.6,728000000.0,83700000.0
109,W760X147,W30X99,18700,754,147.0,297.0,53.3,4410000.0,401000.0,267,17,13.2,1660000000.0,53300000.0
110,W360X147,W14X99,18800,361,147.0,157.0,94.2,2570000.0,905000.0,371,19.8,12.3,462000000.0,167000000.0
111,W250X149,W10X100,18900,282,149.0,117.0,67.3,1840000.0,655000.0,262,28.4,17.3,259000000.0,86200000.0
112,W410X149,W16X100,19000,432,149.0,180.0,63.8,2870000.0,585000.0,264,25,14.9,620000000.0,77400000.0
113,W530X150,W21X101,19200,544,150.0,229.0,73.4,3720000.0,660000.0,312,20.3,12.7,1010000000.0,103000000.0
114,W690X152,W27X102,19400,688,152.0,279.0,54.6,4380000.0,456000.0,254,21.1,13.1,1510000000.0,57900000.0
115,W610X153,W24X103,19500,622,153.0,254.0,50.5,4010000.0,434000.0,229,24.9,14,1250000000.0,49500000.0
